Publication Number,Patent Type,Pages of Document,Count of Current Assignees,Count of Inventors,Main IPC Section,Simple Family Count,Simple Family Cited by Count,Legal Status & Events,Simple Legal Status,Patent Valuation
TH41651B,Patents,-,1,1,A,1,0,Non-payment,Inactive,11000
TH50528B,Patents,2,1,1,F,1,0,Granted,Active,11000
TH35603B,Patents,1,1,1,F,1,0,Granted,Active,11000
TH41784B,Patents,-,1,3,B,1,0,Granted,Active,11000
TH77455B,Patents,-,1,2,C,1,0,Granted,Active,11000
TH62737B,Patents,-,1,1,B,1,0,Granted,Active,11000
TH87100B,Patents,-,1,2,A,1,0,Granted,Active,11000
TH88263B,Patents,-,1,5,A,1,0,Granted,Active,11000
TH89031B,Patents,-,1,1,B,1,0,Granted,Active,11000
TH88973B,Patents,-,1,1,F,1,0,Granted,Active,11000
TH86389B,Patents,-,1,6,B,1,0,Granted,Active,11000
TH88415B,Patents,-,2,9,C,1,0,Granted,Active,11000
TH88324B,Patents,-,1,1,F,1,0,Granted,Active,11000
TH86563B,Patents,-,1,1,B,1,0,Granted,Active,11000
TH90213B,Patents,2,2,6,C,1,0,Granted,Active,11000
TH86641B,Patents,-,1,8,H,1,0,Granted,Active,11000
TH86718B,Patents,-,2,1,A,1,0,Granted,Active,11000
TH86638B,Patents,-,1,4,B,1,0,Granted,Active,11000
TH87828B,Patents,-,2,6,C,1,0,Granted,Active,11000
TH89626B,Patents,-,1,1,B,1,0,Granted,Active,11000
TH86775B,Patents,-,1,1,B,1,0,Granted,Active,11000
TH90191B,Patents,2,1,3,B,1,0,Granted,Active,11000
TH86879B,Patents,-,1,12,A,1,0,Granted,Active,11000
TH86848B,Patents,-,1,1,B,1,0,Granted,Active,11000
TH89380B,Patents,-,1,2,A,1,0,Granted,Active,11000
TH89889B,Patents,-,1,3,C,1,0,Granted,Active,11000
TH87705B,Patents,-,1,4,F,1,0,Granted,Active,11000
TH87136B,Patents,-,1,1,A,1,0,Granted,Active,11000
TH89392B,Patents,-,1,1,B,1,0,Granted,Active,11000
TH88218B,Patents,-,1,6,F,1,0,Granted,Active,11000
TH87779B,Patents,-,1,6,F,1,0,Granted,Active,11000
TH88455B,Patents,-,3,8,A,1,0,Granted,Active,11000
TH86551B,Patents,-,1,2,B,1,0,Granted,Active,11000
TH86664B,Patents,-,1,3,A,1,0,Granted,Active,11000
TH86910B,Patents,-,1,3,C,1,0,Granted,Active,11000
TH88291B,Patents,-,1,1,F,1,0,Granted,Active,11000
TH87350B,Patents,-,1,1,A,1,0,Granted,Active,11000
TH87260B,Patents,-,1,4,C,1,0,Granted,Active,11000
TH88637B,Patents,-,1,1,B,1,0,Granted,Active,11000
TH88613B,Patents,-,1,12,B,1,0,Granted,Active,11000
TH88119B,Patents,-,1,9,F,1,0,Granted,Active,11000
TH86564B,Patents,-,1,6,B,1,0,Granted,Active,11000
TH90346B,Patents,2,2,2,B,1,0,Granted,Active,11000
TH90536B,Patents,44,-,23,A,1,0,Examining,Pending,11000
TH90724B,Patents,2,1,6,G,1,0,Granted,Active,11000
TH90721B,Patents,1,1,6,A,1,0,Examining,Pending,11000
TH90778B,Patents,1,3,2,A,1,0,Examining,Pending,11000
TH90892B,Patents,1,1,3,C,1,0,Examining,Pending,11000
TH90835B,Patents,1,2,9,C,1,0,Granted,Active,11000
TH65245B,Patents,-,1,1,A,1,0,Granted,Active,10000
TH28320B,Patents,-,1,1,A,1,0,Granted,Active,10000
TH61251B,Patents,-,1,1,C,1,0,Granted,Active,10000
TH42950B,Patents,-,1,1,B,1,0,Granted,Active,10000
TH36020B,Patents,1,1,1,C,1,0,Granted,Active,10000
TH66250B,Patents,-,2,1,F,1,0,Granted,Active,10000
TH22669B,Patents,-,2,1,A,1,0,Granted,Active,10000
TH70724B,Patents,2,1,1,F,1,0,Granted,Active,10000
TH58514B,Patents,-,1,1,C,1,0,Ceased,Inactive,10000
TH50324B,Patents,-,1,1,A,1,0,Granted,Active,10000
TH82409B,Patents,1,1,1,A,1,0,Granted,Active,10000
TH31077B,Patents,-,1,1,B,1,0,Granted,Active,10000
TH63662B,Patents,-,1,1,A,1,0,Non-payment,Inactive,10000
TH58117B,Patents,-,1,1,F,1,0,Granted,Active,10000
TH55651B,Patents,1,1,1,A,1,0,Granted,Active,10000
TH83265B,Patents,1,1,1,A,1,0,Granted,Active,10000
TH76183B,Patents,-,1,1,C,1,0,Granted,Active,10000
TH51264B,Patents,-,1,1,C,1,0,Granted,Active,10000
TH85856B,Patents,-,2,1,F,1,0,Granted,Active,10000
TH86756B,Patents,-,1,1,A,1,0,Granted,Active,10000
TH90339B,Patents,2,1,1,C,1,0,Granted,Active,10000
TH90566B,Patents,19,1,1,A,1,0,Granted,Active,10000
TH90786B,Patents,2,1,1,A,1,0,Examining,Pending,10000
TH141818A,Applications,1,1,2,C,4,10,Examining,Pending,4000
TH111481A,Applications,1,1,3,A,5,9,Examining,Pending,3900
TH98588A,Applications,1,1,3,A,3,5,Examining,Pending,3900
TH2101000780A,Applications,15,1,2,B,2,0,Published,Pending,3900
TH123745A,Applications,2,6,6,F,10,15,Examining,Pending,3800
TH148545A,Applications,1,1,3,C,4,3,Examining,Pending,3800
TH110963A,Applications,1,1,3,B,3,0,Examining,Pending,3800
TH131391A,Applications,1,1,1,C,5,10,Examining,Pending,3800
TH175624A,Applications,1,2,7,C,3,1,Examining,Pending,3800
TH1901007705A,Applications,21,1,4,B,2,0,Published,Pending,3800
TH2101000685A,Applications,20,1,2,F,2,0,Examining,Pending,3800
TH125143A,Applications,2,3,1,H,3,9,Withdrawn,Inactive,3700
TH141122A,Applications,1,1,3,A,2,0,Examining,Pending,3700
TH149056A,Applications,1,1,4,A,2,0,Withdrawn,Inactive,3700
TH125535A,Applications,2,1,1,B,2,5,Examining,Pending,3700
TH119826A,Applications,2,1,3,A,2,0,Examining,Pending,3700
TH152676A,Applications,1,1,3,C,2,0,Examining,Pending,3700
TH128630A,Applications,1,1,2,A,4,4,Examining,Pending,3700
TH111685A,Applications,2,1,2,A,2,0,Examining,Pending,3700
TH137963A,Applications,1,2,10,C,2,6,Withdrawn,Inactive,3700
TH174576A,Applications,1,1,1,A,3,0,Published,Pending,3700
TH175620A,Applications,1,1,5,C,2,5,Published,Pending,3700
TH180348A,Applications,1,3,3,A,2,14,Published,Pending,3700
TH16707U,Utility models,20,1,2,F,2,0,Granted,Active,3700
TH84575B,Patents,-,1,2,B,1,0,Granted,Active,3700
TH151285A,Applications,2,1,4,A,3,0,Examining,Pending,3600
TH115925A,Applications,2,1,7,A,2,3,Withdrawn,Inactive,3600
TH120087A,Applications,1,1,4,A,2,5,Examining,Pending,3600
TH165089A,Applications,2,1,1,A,2,0,Published,Pending,3600
TH168597A,Applications,1,1,5,C,2,0,Examining,Pending,3600
TH118869A,Applications,1,1,8,A,2,0,Examining,Pending,3600
TH142203A,Applications,2,1,1,F,2,0,Examining,Pending,3600
TH112662A,Applications,1,1,5,A,2,0,Withdrawn,Inactive,3600
TH11623U,Utility models,2,2,4,A,2,5,Granted,Active,3600
TH172586A,Applications,2,1,5,A,2,3,Examining,Pending,3600
TH172935A,Applications,2,2,1,F,2,0,Examining,Pending,3600
TH20801U,Utility models,2,1,2,B,2,0,Granted,Active,3600
TH122377A,Applications,1,1,4,C,2,2,Examining,Pending,3500
TH152698A,Applications,1,1,2,A,2,1,Withdrawn,Inactive,3500
TH159465A,Applications,2,1,1,F,2,4,Examining,Pending,3500
TH1601007666A,Applications,1,1,6,A,2,18,Examining,Pending,3500
TH1801007859A,Applications,14,1,5,A,2,0,Examining,Pending,3500
TH86009B,Patents,-,2,4,F,1,0,Granted,Active,3500
TH2201001405A,Applications,23,1,1,A,8,0,Published,Pending,3500
TH162106A,Applications,2,1,4,B,1,0,Published,Pending,3400
TH144069A,Applications,1,1,2,B,2,0,Examining,Pending,3400
TH138905A,Applications,1,1,6,C,2,0,Examining,Pending,3400
TH173877A,Applications,2,1,1,F,2,0,Examining,Pending,3400
TH177283A,Applications,2,1,3,B,1,0,Examining,Pending,3400
TH2001000891A,Applications,29,1,1,F,2,0,Published,Pending,3400
TH85420B,Patents,-,1,2,B,1,0,Granted,Active,3400
TH84051B,Patents,-,1,10,B,1,0,Granted,Active,3400
TH86072B,Patents,2,1,3,B,1,0,Granted,Active,3400
TH84752B,Patents,-,1,2,B,1,0,Granted,Active,3400
TH84481B,Patents,-,1,2,B,1,0,Granted,Active,3400
TH85639B,Patents,2,1,2,B,1,0,Granted,Active,3400
TH85800B,Patents,-,1,2,F,1,0,Granted,Active,3400
TH86032B,Patents,-,1,1,F,1,0,Granted,Active,3400
TH85570B,Patents,2,1,2,B,1,0,Granted,Active,3400
TH16099B,Patents,-,1,3,B,1,0,Expired,Inactive,3400
TH85764B,Patents,2,1,2,F,1,0,Granted,Active,3400
TH2001002814A,Applications,27,3,2,F,2,0,Examining,Pending,3400
TH2001002445A,Applications,2,1,3,A,2,0,Examining,Pending,3400
TH88518B,Patents,-,1,1,B,1,0,Granted,Active,3400
TH88114B,Patents,-,1,12,F,1,0,Granted,Active,3400
TH2201002194A,Applications,25,1,4,F,1,0,Published,Pending,3400
TH2001006744A,Applications,15,1,2,B,1,0,Published,Pending,3400
TH2101003308A,Applications,7,1,3,B,1,0,Published,Pending,3400
TH2001002042A,Applications,32,1,2,F,1,0,Published,Pending,3400
TH2201001217A,Applications,40,1,2,A,1,0,Published,Pending,3400
TH2001006869A,Applications,21,1,2,F,1,0,Published,Pending,3400
TH2201001392A,Applications,33,1,2,B,1,0,Published,Pending,3400
TH2001006441A,Applications,60,-,3,B,1,0,Published,Pending,3400
TH2001005770A,Applications,23,1,2,H,1,0,Published,Pending,3400
TH90798B,Patents,89,1,4,B,1,0,Examining,Pending,3400
TH159944A,Applications,2,1,8,F,1,0,Examining,Pending,3300
TH125585A,Applications,2,1,3,B,2,0,Withdrawn,Inactive,3300
TH155021A,Applications,2,1,2,B,1,0,Examining,Pending,3300
TH164154A,Applications,1,1,4,A,1,0,Examining,Pending,3300
TH159945A,Applications,2,1,6,F,1,0,Examining,Pending,3300
TH158927A,Applications,1,1,4,A,1,0,Examining,Pending,3300
TH139639A,Applications,1,1,7,C,2,0,Examining,Pending,3300
TH135140A,Applications,1,1,12,C,2,0,Examining,Pending,3300
TH146102A,Applications,1,1,2,A,2,3,Examining,Pending,3300
TH166146A,Applications,1,1,4,C,1,0,Examining,Pending,3300
TH165225A,Applications,1,1,2,B,1,0,Examining,Pending,3300
TH82139A,Applications,1,1,4,C,1,0,Granted,Active,3300
TH169691A,Applications,1,1,2,A,1,0,Published,Pending,3300
TH148642A,Applications,2,1,1,F,2,5,Examining,Pending,3300
TH149472A,Applications,2,1,3,C,2,0,Examining,Pending,3300
TH146660A,Applications,2,1,2,B,1,0,Examining,Pending,3300
TH167974A,Applications,2,-,4,B,1,0,Examining,Pending,3300
TH10330U,Utility models,3,2,1,B,2,0,Granted,Active,3300
TH167973A,Applications,2,1,4,B,1,0,Examining,Pending,3300
TH146357A,Applications,1,1,2,A,2,0,Withdrawn,Inactive,3300
TH170622A,Applications,2,1,1,F,2,0,Examining,Pending,3300
TH165734A,Applications,2,1,8,F,1,0,Examining,Pending,3300
TH128848A,Applications,1,1,5,C,2,0,Withdrawn,Inactive,3300
TH163282A,Applications,1,1,8,A,2,0,Examining,Pending,3300
TH160187A,Applications,1,1,5,A,1,0,Published,Pending,3300
TH170624A,Applications,2,1,1,F,2,0,Examining,Pending,3300
TH173515A,Applications,2,1,3,F,1,0,Published,Pending,3300
TH173641A,Applications,1,1,7,C,1,0,Published,Pending,3300
TH175759A,Applications,2,1,4,F,1,0,Published,Pending,3300
TH177506A,Applications,2,1,2,B,1,0,Examining,Pending,3300
TH178545A,Applications,2,1,5,B,1,0,Published,Pending,3300
TH179792A,Applications,1,1,4,C,2,0,Examining,Pending,3300
TH182032A,Applications,2,1,4,F,1,0,Published,Pending,3300
TH182682A,Applications,2,1,3,B,1,0,Published,Pending,3300
TH183335A,Applications,2,1,8,F,1,0,Published,Pending,3300
TH1701006899A,Applications,23,1,6,B,1,0,Examining,Pending,3300
TH1801001077A,Applications,2,1,1,B,1,0,Published,Pending,3300
TH1801004838A,Applications,23,1,2,B,1,0,Published,Pending,3300
TH1801003012A,Applications,77,1,5,B,1,0,Published,Pending,3300
TH1801004226A,Applications,27,1,5,A,1,0,Examining,Pending,3300
TH1801004622A,Applications,24,1,5,A,1,0,Published,Pending,3300
TH1801007124A,Applications,64,1,2,B,1,0,Examining,Pending,3300
TH1801003999A,Applications,23,1,2,F,1,0,Published,Pending,3300
TH1801006317A,Applications,10,1,1,B,1,0,Published,Pending,3300
TH1901002561A,Applications,33,1,4,F,1,0,Published,Pending,3300
TH1901008204A,Applications,24,1,3,B,1,0,Published,Pending,3300
TH1901002817A,Applications,27,1,1,B,1,0,Published,Pending,3300
TH1901006082A,Applications,22,1,6,B,1,0,Published,Pending,3300
TH1901004596A,Applications,37,1,1,B,1,0,Published,Pending,3300
TH1801007678A,Applications,79,1,2,C,1,0,Published,Pending,3300
TH1901002560A,Applications,28,1,12,F,1,0,Published,Pending,3300
TH1701000180A,Applications,19,1,4,F,1,0,Published,Pending,3300
TH1901001010A,Applications,36,1,3,C,1,0,Published,Pending,3300
TH1901006519A,Applications,30,-,2,B,1,0,Examining,Pending,3300
TH2001003138A,Applications,24,1,2,F,1,0,Published,Pending,3300
TH2001003137A,Applications,30,1,2,F,1,0,Published,Pending,3300
TH2101002230A,Applications,35,1,2,B,1,0,Published,Pending,3300
TH1901003794A,Applications,22,1,3,A,2,0,Examining,Pending,3300
TH75353B,Patents,2,1,6,G,1,0,Granted,Active,3300
TH21904B,Patents,-,1,1,A,1,0,Granted,Active,3300
TH85167B,Patents,-,2,3,C,1,0,Granted,Active,3300
TH85823B,Patents,-,2,10,B,1,0,Granted,Active,3300
TH86134B,Patents,1,2,3,A,1,0,Granted,Active,3300
TH84245B,Patents,-,2,6,B,1,0,Granted,Active,3300
TH24534B,Patents,-,1,1,A,1,0,Granted,Active,3300
TH22637B,Patents,-,1,1,C,1,0,Granted,Active,3300
TH85549B,Patents,-,1,5,B,1,0,Granted,Active,3300
TH85548B,Patents,-,1,6,B,1,0,Granted,Active,3300
TH84827B,Patents,-,2,1,F,1,0,Granted,Active,3300
TH85807B,Patents,-,1,1,B,1,0,Granted,Active,3300
TH72490B,Patents,1,1,4,A,1,0,Granted,Active,3300
TH86076B,Patents,-,1,10,F,1,0,Granted,Active,3300
TH16124B,Patents,-,1,3,A,1,0,Expired,Inactive,3300
TH21909B,Patents,-,1,1,A,1,0,Granted,Active,3300
TH21549B,Patents,-,1,1,A,1,0,Ceased,Inactive,3300
TH86063B,Patents,-,1,5,B,1,0,Granted,Active,3300
TH85589B,Patents,-,1,10,B,1,0,Granted,Active,3300
TH84920B,Patents,-,1,2,A,1,0,Granted,Active,3300
TH16126B,Patents,-,1,3,A,1,0,Expired,Inactive,3300
TH2101003540A,Applications,-,1,2,B,1,0,Published,Pending,3300
TH19720U,Utility models,3,2,2,B,2,0,Granted,Active,3300
TH2101003823A,Applications,31,-,3,G,1,0,Published,Pending,3300
TH89059B,Patents,-,1,2,A,1,0,Granted,Active,3300
TH2001002410A,Applications,26,1,2,F,1,0,Published,Pending,3300
TH2201002535A,Applications,50,1,16,B,2,0,Published,Pending,3300
TH88743B,Patents,-,1,1,A,1,0,Granted,Active,3300
TH1801007556A,Applications,22,1,3,A,1,0,Published,Pending,3300
TH2101002205A,Applications,13,1,2,A,1,0,Published,Pending,3300
TH2001002140A,Applications,26,1,6,F,1,0,Published,Pending,3300
TH2001004317A,Applications,67,1,12,B,1,0,Published,Pending,3300
TH2001002415A,Applications,60,1,5,F,1,0,Published,Pending,3300
TH91284B,Patents,13,1,2,B,1,0,Examining,Pending,3300
TH91421B,Patents,2,1,2,B,1,0,Granted,Active,3300
TH164178A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH166085A,Applications,2,1,1,B,1,0,Published,Pending,3200
TH160655A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH147579A,Applications,1,1,2,C,1,0,Examining,Pending,3200
TH162147A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH169795A,Applications,1,1,3,C,1,0,Published,Pending,3200
TH164813A,Applications,1,1,2,B,1,0,Published,Pending,3200
TH157689A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH160184A,Applications,1,1,7,A,1,0,Examining,Pending,3200
TH147648A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH131535A,Applications,1,2,5,G,1,0,Examining,Pending,3200
TH147341A,Applications,2,1,2,B,1,0,Withdrawn,Inactive,3200
TH149733A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH157461A,Applications,1,1,6,C,1,0,Published,Pending,3200
TH132963A,Applications,2,1,3,G,1,0,Examining,Pending,3200
TH155199A,Applications,2,1,3,B,1,0,Examining,Pending,3200
TH170433A,Applications,2,1,2,B,1,0,Withdrawn,Inactive,3200
TH162179A,Applications,1,1,1,F,2,0,Withdrawn,Inactive,3200
TH146680A,Applications,1,1,4,A,1,0,Withdrawn,Inactive,3200
TH167587A,Applications,2,3,3,B,1,0,Examining,Pending,3200
TH166113A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH167402A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH168468A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH168572A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH165950A,Applications,2,1,2,F,1,0,Examining,Pending,3200
TH170532A,Applications,1,1,6,A,1,0,Published,Pending,3200
TH154238A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH148920A,Applications,2,1,3,C,1,0,Published,Pending,3200
TH158473A,Applications,2,4,4,B,1,0,Examining,Pending,3200
TH154874A,Applications,1,1,2,C,1,0,Published,Pending,3200
TH149875A,Applications,1,1,4,C,1,0,Published,Pending,3200
TH160523A,Applications,3,1,2,F,1,0,Examining,Pending,3200
TH161451A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH160927A,Applications,2,1,8,B,1,0,Examining,Pending,3200
TH12025U,Utility models,2,1,2,B,1,0,Granted,Active,3200
TH168928A,Applications,2,1,3,C,1,0,Examining,Pending,3200
TH155065A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH148125A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH160604A,Applications,2,4,4,F,1,0,Published,Pending,3200
TH160707A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH156989A,Applications,2,1,1,B,1,0,Published,Pending,3200
TH147127A,Applications,1,1,6,C,1,0,Examining,Pending,3200
TH155188A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH161873A,Applications,2,-,-,B,1,0,Published,Pending,3200
TH165209A,Applications,1,1,4,B,1,0,Examining,Pending,3200
TH160857A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH146370A,Applications,1,1,2,B,1,0,Examining,Pending,3200
TH101692A,Applications,1,1,1,B,1,0,Examining,Pending,3200
TH147856A,Applications,1,2,2,A,2,0,Examining,Pending,3200
TH165830A,Applications,2,1,5,B,1,0,Published,Pending,3200
TH166314A,Applications,2,1,3,A,1,0,Withdrawn,Inactive,3200
TH10279U,Utility models,2,1,4,B,1,0,Granted,Active,3200
TH147718A,Applications,1,1,3,C,1,0,Examining,Pending,3200
TH140683A,Applications,1,1,2,C,1,0,Examining,Pending,3200
TH169592A,Applications,1,1,3,C,1,0,Examining,Pending,3200
TH151264A,Applications,10,1,1,E,1,0,Examining,Pending,3200
TH156630A,Applications,2,2,2,B,1,0,Published,Pending,3200
TH168878A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH169514A,Applications,1,1,2,C,1,0,Examining,Pending,3200
TH149141A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH166919A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH163438A,Applications,1,1,4,B,1,0,Published,Pending,3200
TH162049A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH11436U,Utility models,3,1,2,B,1,0,Granted,Active,3200
TH169409A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH156986A,Applications,2,1,1,B,1,0,Published,Pending,3200
TH169280A,Applications,2,2,3,A,1,0,Examining,Pending,3200
TH163361A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH146478A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH158285A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH160867A,Applications,1,1,3,C,1,0,Examining,Pending,3200
TH148181A,Applications,1,1,3,C,1,0,Examining,Pending,3200
TH160730A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH161846A,Applications,1,2,2,B,1,0,Published,Pending,3200
TH167497A,Applications,2,2,2,B,1,0,Published,Pending,3200
TH146702A,Applications,2,1,1,B,1,0,Examining,Pending,3200
TH161820A,Applications,2,-,-,B,1,0,Examining,Pending,3200
TH154621A,Applications,2,1,3,A,1,0,Examining,Pending,3200
TH166786A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH137010A,Applications,2,1,2,B,1,0,Withdrawn,Inactive,3200
TH167466A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH148014A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH157629A,Applications,2,1,1,F,1,0,Examining,Pending,3200
TH121002A,Applications,1,1,2,G,1,0,Examining,Pending,3200
TH160891A,Applications,2,1,1,B,1,0,Examining,Pending,3200
TH149740A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH169632A,Applications,2,1,6,B,1,0,Published,Pending,3200
TH152972A,Applications,2,2,2,B,1,0,Examining,Pending,3200
TH168532A,Applications,1,1,7,A,1,0,Examining,Pending,3200
TH169635A,Applications,2,1,1,F,1,0,Published,Pending,3200
TH165721A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH148007A,Applications,2,1,1,B,1,0,Published,Pending,3200
TH145112A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH170230A,Applications,2,2,4,B,1,0,Examining,Pending,3200
TH145005A,Applications,3,1,2,B,1,0,Examining,Pending,3200
TH166069A,Applications,1,1,3,B,1,0,Published,Pending,3200
TH136996A,Applications,2,1,3,B,1,0,Withdrawn,Inactive,3200
TH169326A,Applications,2,1,1,B,1,0,Examining,Pending,3200
TH167479A,Applications,2,1,2,C,1,0,Examining,Pending,3200
TH159057A,Applications,1,1,4,C,1,0,Examining,Pending,3200
TH163856A,Applications,2,1,3,B,1,0,Examining,Pending,3200
TH151222A,Applications,2,1,1,B,1,0,Withdrawn,Inactive,3200
TH162750A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH165231A,Applications,3,1,6,B,1,0,Published,Pending,3200
TH157688A,Applications,2,1,2,A,1,0,Examining,Pending,3200
TH160775A,Applications,2,1,3,F,1,0,Withdrawn,Inactive,3200
TH121211A,Applications,1,1,1,C,2,0,Examining,Pending,3200
TH162630A,Applications,1,-,8,B,1,0,Examining,Pending,3200
TH157022A,Applications,2,1,8,B,1,0,Examining,Pending,3200
TH153538A,Applications,2,2,2,B,1,0,Examining,Pending,3200
TH152438A,Applications,1,1,2,C,1,0,Examining,Pending,3200
TH161790A,Applications,1,1,2,C,1,0,Published,Pending,3200
TH157747A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH146140A,Applications,1,1,2,C,1,0,Withdrawn,Inactive,3200
TH160774A,Applications,3,1,3,B,1,0,Withdrawn,Inactive,3200
TH168931A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH146581A,Applications,2,1,4,A,1,0,Published,Pending,3200
TH165110A,Applications,2,1,1,B,1,0,Published,Pending,3200
TH162159A,Applications,3,1,1,B,1,0,Examining,Pending,3200
TH148415A,Applications,1,1,10,C,1,0,Examining,Pending,3200
TH167475A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH149957A,Applications,1,-,3,C,1,0,Examining,Pending,3200
TH160961A,Applications,2,1,1,B,1,0,Published,Pending,3200
TH170229A,Applications,2,2,4,B,1,0,Examining,Pending,3200
TH165186A,Applications,1,1,3,C,1,0,Examining,Pending,3200
TH162387A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH157086A,Applications,2,2,2,B,1,0,Published,Pending,3200
TH12317U,Utility models,2,1,1,A,2,0,Granted,Active,3200
TH160635A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH169489A,Applications,1,1,4,B,1,0,Examining,Pending,3200
TH157413A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH128049A,Applications,1,1,2,C,1,0,Examining,Pending,3200
TH149709A,Applications,2,1,4,A,1,0,Published,Pending,3200
TH133920A,Applications,1,1,2,C,1,0,Examining,Pending,3200
TH156747A,Applications,2,1,1,B,1,0,Withdrawn,Inactive,3200
TH166608A,Applications,2,1,3,A,1,0,Examining,Pending,3200
TH157690A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH167549A,Applications,2,1,3,B,1,0,Examining,Pending,3200
TH167967A,Applications,2,1,3,B,1,0,Examining,Pending,3200
TH162118A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH157420A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH154298A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH157709A,Applications,2,1,5,B,1,0,Published,Pending,3200
TH136606A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH147591A,Applications,2,1,4,B,1,0,Withdrawn,Inactive,3200
TH147444A,Applications,2,1,2,F,1,0,Published,Pending,3200
TH138417A,Applications,1,2,3,A,2,0,Withdrawn,Inactive,3200
TH155988A,Applications,2,3,4,B,1,0,Examining,Pending,3200
TH151256A,Applications,3,1,3,B,1,0,Examining,Pending,3200
TH148293A,Applications,1,1,6,C,1,0,Published,Pending,3200
TH169571A,Applications,1,1,2,C,1,0,Published,Pending,3200
TH159424A,Applications,2,1,2,B,1,0,Published,Pending,3200
TH10920U,Utility models,3,1,2,F,1,0,Granted,Active,3200
TH169720A,Applications,2,1,6,B,1,0,Examining,Pending,3200
TH165289A,Applications,2,1,1,B,1,0,Examining,Pending,3200
TH146786A,Applications,2,1,2,A,1,0,Published,Pending,3200
TH162146A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH155278A,Applications,2,1,2,A,1,0,Examining,Pending,3200
TH170203A,Applications,1,1,3,A,1,0,Examining,Pending,3200
TH147637A,Applications,2,1,2,F,1,0,Published,Pending,3200
TH147130A,Applications,1,1,4,A,1,0,Withdrawn,Inactive,3200
TH161395A,Applications,1,1,2,C,1,0,Examining,Pending,3200
TH169407A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH157739A,Applications,2,1,2,F,1,0,Published,Pending,3200
TH165119A,Applications,2,1,2,B,1,0,Examining,Pending,3200
TH170378A,Applications,2,1,3,B,1,0,Withdrawn,Inactive,3200
TH170240A,Applications,2,1,4,B,1,0,Published,Pending,3200
TH153083A,Applications,2,2,2,F,1,0,Withdrawn,Inactive,3200
TH147114A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH145230A,Applications,1,1,2,C,2,2,Withdrawn,Inactive,3200
TH160776A,Applications,2,1,3,B,1,0,Withdrawn,Inactive,3200
TH154948A,Applications,1,1,2,C,1,0,Examining,Pending,3200
TH169760A,Applications,2,1,1,B,1,0,Examining,Pending,3200
TH153678A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH156015A,Applications,1,2,4,B,1,0,Published,Pending,3200
TH162373A,Applications,2,1,1,B,1,0,Examining,Pending,3200
TH167586A,Applications,2,1,3,B,1,0,Examining,Pending,3200
TH169487A,Applications,2,1,2,G,1,0,Examining,Pending,3200
TH167589A,Applications,2,1,4,B,1,0,Examining,Pending,3200
TH160993A,Applications,2,2,2,B,1,0,Examining,Pending,3200
TH163213A,Applications,2,1,4,B,1,0,Published,Pending,3200
